"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10102,"10102Y00020017","YYA1","10102YY000011",2012,2,6,9,37,"金門縣","金湖鎮","",NA,"士校路","","",NA,"","","","","","太湖二橋路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"雨","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","其他","未依規定讓車","Y000","YY00",1,2,2012-02-06,"士校路","","金門縣金湖鎮太湖二橋路口","118.4271704","24.4453138"
10102,"10102Y00020013","YYA1","10102YY000016",2012,2,9,7,23,"金門縣","金湖鎮","",NA,"伯玉路","四","",NA,"","","瓊義路","","東","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","縣道",70,"圓環","其他","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","車道線（無標記）","未繪設快慢車道分隔線","有","其他","未保持行車安全距離","Y000","YY00",1,2,2012-02-09,"伯玉路四段","瓊義路","","118.3764902","24.44678396"
10102,"10102Y00020012","YYA1","10102YY000017",2012,2,9,7,18,"金門縣","金沙鎮","",NA,"","","",NA,"","","","","","忠孝新",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,2012-02-09,"金門縣金沙鎮忠孝新","","金門縣金沙鎮忠孝新","118.413013","24.493643"
10102,"10102Y00020018","YYA1","10102YY000020",2012,2,10,15,11,"金門縣","金湖鎮","",NA,"環島南路","五","",NA,"","","","","","05035號燈桿附近",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",60,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","未繪設快慢車道分隔線","有","對向擦撞","違規超車","Y000","YY00",1,2,2012-02-10,"環島南路五段","","金門縣金湖鎮05035號燈桿附近","118.4239844","24.4324232"
10102,"10102Y00020021","YYA1","10102YY000025",2012,2,18,11,38,"金門縣","金沙鎮","",NA,"環島東路","二","",NA,"","","","","","大舞台前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",60,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","對撞","違規超車","Y000","YY00",1,2,2012-02-18,"環島東路二段","","金門縣金沙鎮大舞台前路段","118.4328094","24.4713308"
10102,"10102Y00020015","YYA1","10102YY000026",2012,2,18,17,5,"金門縣","金湖鎮","",NA,"環島南路","四","",NA,"","","","","","05088路燈桿前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"陰","日間自然光線","村里道路",50,"直路","快車道","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","快慢車道分隔線","有","其他","變換車道或方向不當","Y000","YY00",1,2,2012-02-18,"環島南路四段","","金門縣金湖鎮05088路燈桿前","118.40101","24.438041"
10102,"10102Y00020025","YYA1","10102YY000032",2012,2,21,7,55,"金門縣","金湖鎮","",NA,"太湖路","二","",NA,"","","","","","與自強路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",50,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YY00",1,2,2012-02-21,"太湖路二段","","金門縣金湖鎮與自強路口","118.4170143","24.4394812"
10102,"10102Y00030006","YYA1","10102YY000035",2012,2,26,9,10,"金門縣","金湖鎮","",NA,"","三","",NA,"","","","","","環島北路三段屠宰場路段07097號燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"陰","日間自然光線","村里道路",60,"直路","一般車道（未劃分快慢車道）","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","未繪設快慢車道分隔線","有","同向通行中","酒醉（後）駕駛失控","Y000","YY00",1,3,2012-02-26,"","","金門縣金湖鎮環島北路三段屠宰場路段07097號燈桿","118.388325","24.466263"
10102,"10102Y00020001","YZA1","10102YZ000001",2012,2,1,12,18,"金門縣","金城鎮","南門里",NA,"光前路","","",NA,"85之1","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"坡路","一般車道（未劃分快慢車道）","其他鋪裝","油滑","無缺陷","無障礙物","其他","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路上翻車、摔倒","未注意車前狀態","Y000","YZ00",1,2,2012-02-01,"光前路85-1號","","金門縣金城鎮南門里","118.3142468","24.4339885"
10102,"10102Y00010001","YZA1","10102YZ000002",2012,2,1,21,54,"金門縣","金城鎮","西門里",NA,"環島北路","","",NA,"66號","","","","","00299路燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"晴","夜間（或隧道、地下道、涵洞）有照明","縣道",60,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","附標記","未繪設車道線","快慢車道分隔線","有","對撞","違規超車","Y000","YZ00",1,1,2012-02-01,"金門縣金城鎮西門里66號號","","金門縣金城鎮西門里00299路燈桿","118.3166667","24.4166667"
