"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10206,"10206Y00030005","YZA1","10206YZ000045",2013,6,30,12,45,"金門縣","金寧鄉","",NA,"","","",NA,"","","","","","埔後115號後方路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路口交岔撞","未依規定讓車","Y000","YZ00",1,3,"2013-06-30","金門縣金寧鄉埔後115號後方路口","","金門縣金寧鄉埔後115號後方路口",118.317029,24.442928
10303,"10303Y00020043","YZA1","10303YZ000062",2014,3,31,8,20,"金門縣","金城鎮","",NA,"民生路","","",NA,"","","","","","大同之家旁路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"雨","日間自然光線","鄉道",40,"四岔路","交岔路口內","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路口交岔撞","未依規定讓車","Y000","YZ00",1,2,"2014-03-31","民生路","","金門縣金城鎮大同之家旁路口",118.3190184,24.43575
10207,"","YYA1","10207YY000013",2013,7,7,15,14,"金門縣","金沙鎮","官嶼里",NA,"","","",NA,"","","","","","塘頭2號前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","其他",40,"廣場","其他","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","倒車撞","倒車未依規定","Y000","YY00",1,4,"2013-07-07","金門縣金沙鎮官嶼里塘頭2號前","","金門縣金沙鎮官嶼里塘頭2號前",118.4143898,24.5154859
10303,"","YZA1","10303YZ000041",2014,3,21,15,43,"金門縣","金城鎮","",NA,"民權路","","226",4,"16","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YZ00",1,4,"2014-03-21","民權路226巷4弄16號","","金門縣金城鎮",118.3193849,24.4396401
10207,"10207Y00020006","YYA1","10207YY000014",2013,7,8,7,38,"金門縣","金湖鎮","",NA,"伯玉路","三","",NA,"","","中山路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",70,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","同向擦撞","未保持行車安全間隔","Y000","YY00",1,2,"2013-07-08","伯玉路三段","中山路","",118.3650088,24.44601623
10210,"10210Y00020020","YZA1","10210YZ000032",2013,10,16,21,25,"金門縣","金城鎮","",NA,"伯玉路","一","",NA,"","","","","","鈞統大賣場附近路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",60,"直路","慢車道","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YZ00",1,2,"2013-10-16","伯玉路一段","","金門縣金城鎮鈞統大賣場附近路段",118.3267756,24.4346914
10312,"10312Y00020040","YZA1","10312YZ000050",2014,12,20,20,0,"金門縣","金城鎮","",NA,"民生路","","",NA,"","","","","","53號前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"陰","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,"2014-12-20","民生路","","金門縣金城鎮53號前",118.3190184,24.43575
10207,"","YYA1","10207YY000023",2013,7,9,18,20,"金門縣","金湖鎮","",NA,"太湖路","一","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YY00",1,4,"2013-07-09","太湖路一段","","金門縣金湖鎮",118.4047483,24.4473343
10209,"","YYA1","10209YY000018",2013,9,10,20,55,"金門縣","金湖鎮","",NA,"太湖路","一","",NA,"","","","","","軍用加油站路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YY00",1,4,"2013-09-10","太湖路一段","","金門縣金湖鎮軍用加油站路段",118.4047483,24.4473343
10207,"","YZA1","10207YZ000030",2013,7,16,18,7,"金門縣","金城鎮","北門里",NA,"民生路","","",NA,"","","中興路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YZ00",1,4,"2013-07-16","民生路","中興路","",118.319696,24.43433386
10207,"10207Y00020010","YZA1","10207YZ000031",2013,7,19,8,7,"金門縣","金城鎮","西門里",NA,"民權路","","",NA,"","","環島西路","二","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","濕潤","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未注意車前狀態","Y000","YZ00",1,2,"2013-07-19","民權路","環島西路二段","",118.3210727,24.4399025
10212,"10212Y00020037","YZA1","10212YZ000051",2013,12,19,11,0,"金門縣","金城鎮","",NA,"民權路","","",NA,"188","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",50,"三岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","其他","起步未注意其他車（人）安全","Y000","YZ00",1,2,"2013-12-19","民權路188號","","金門縣金城鎮",118.3197267,24.4385954
10207,"10207Y00020014","YZA1","10207YZ000038",2013,7,22,8,30,"金門縣","金寧鄉","榜林村",NA,"環島南路","","",NA,"","","","","","中心教練場0709號燈桿",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","側撞","迴轉未依規定","Y000","YZ00",1,2,"2013-07-22","環島南路","","金門縣金寧鄉榜林村中心教練場0709號燈桿",118.3757827,24.4398961
